node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Framing & Tack Weld #2,2,1,16848.900,16850.100,1.200,process,1207,
Framing & Tack Weld #2,2,1,16850.100,16856.100,6.000,wait,1207,
Framing & Tack Weld #2,2,1,16856.100,16859.100,3.000,down,1207,
Framing & Tack Weld #2,2,1,16859.100,16863.100,4.000,process,1208,
Framing & Tack Weld #2,2,1,16863.100,16871.100,8.000,wait,1208,
Framing & Tack Weld #2,2,1,16871.100,16873.100,2.000,down,1208,
Framing & Tack Weld #2,2,1,16873.100,16878.100,5.000,process,1209,
Framing & Tack Weld #2,2,1,16878.100,16884.100,6.000,wait,1209,
Framing & Tack Weld #2,2,1,16884.100,16887.100,3.000,down,1209,
Framing & Tack Weld #2,2,1,16887.100,16891.100,4.000,process,1210,
Framing & Tack Weld #2,2,1,16891.100,16899.100,8.000,wait,1210,
Framing & Tack Weld #2,2,1,16899.100,16901.100,2.000,down,1210,
Framing & Tack Weld #2,2,1,16901.100,16906.100,5.000,process,1211,
Framing & Tack Weld #2,2,1,16906.100,16912.100,6.000,wait,1211,
Framing & Tack Weld #2,2,1,16912.100,16915.100,3.000,down,1211,
Framing & Tack Weld #2,2,1,16915.100,16919.100,4.000,process,1212,
Framing & Tack Weld #2,2,1,16919.100,16927.100,8.000,wait,1212,
Framing & Tack Weld #2,2,1,16927.100,16929.100,2.000,down,1212,
Framing & Tack Weld #2,2,1,16929.100,16934.100,5.000,process,1213,
Framing & Tack Weld #2,2,1,16934.100,16940.100,6.000,wait,1213,
Framing & Tack Weld #2,2,1,16940.100,16943.100,3.000,down,1213,
Framing & Tack Weld #2,2,1,16943.100,16947.100,4.000,process,1214,
Framing & Tack Weld #2,2,1,16947.100,16955.100,8.000,wait,1214,
Framing & Tack Weld #2,2,1,16955.100,16957.100,2.000,down,1214,
Framing & Tack Weld #2,2,1,16957.100,16962.100,5.000,process,1215,
Framing & Tack Weld #2,2,1,16962.100,16968.100,6.000,wait,1215,
Framing & Tack Weld #2,2,1,16968.100,16971.100,3.000,down,1215,
Framing & Tack Weld #2,2,1,16971.100,16975.100,4.000,process,1216,
Framing & Tack Weld #2,2,1,16975.100,16983.100,8.000,wait,1216,
Framing & Tack Weld #2,2,1,16983.100,16985.100,2.000,down,1216,
